work_year,job_title,job_category,salary_in_usd,work_setting
2023,Data DevOps Engineer,Data Engineering,95012,Hybrid
2023,Data Architect,Data Architecture and Modeling,186000,In-person
2023,Data Architect,Data Architecture and Modeling,81800,In-person
2023,Data Scientist,Data Science and Research,212000,In-person
2023,Data Scientist,Data Science and Research,93300,In-person
2023,Data Scientist,Data Science and Research,130000,Remote
2023,Data Scientist,Data Science and Research,100000,Remote
2023,Machine Learning Researcher,Machine Learning and AI,224400,In-person
2023,Machine Learning Researcher,Machine Learning and AI,138700,In-person
2023,Data Engineer,Data Engineering,210000,Remote
2023,Data Engineer,Data Engineering,168000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,224400,In-person
2023,Machine Learning Engineer,Machine Learning and AI,138700,In-person
2023,Data Scientist,Data Science and Research,43064,In-person
2023,Data Scientist,Data Science and Research,36912,In-person
2023,Data Analyst,Data Analysis,95000,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Data Scientist,Data Science and Research,300000,In-person
2023,Data Scientist,Data Science and Research,234000,In-person
2023,Analytics Engineer,Leadership and Management,140000,In-person
2023,Analytics Engineer,Leadership and Management,120000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,204500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,142200,In-person
2023,Data Analyst,Data Analysis,155000,In-person
2023,Data Analyst,Data Analysis,110000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,266500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,152000,In-person
2023,Applied Scientist,Data Science and Research,222200,In-person
2023,Applied Scientist,Data Science and Research,136000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,273400,In-person
2023,Machine Learning Engineer,Machine Learning and AI,182200,In-person
2023,BI Developer,BI and Visualization,167500,In-person
2023,BI Developer,BI and Visualization,106500,In-person
2023,Data Engineer,Data Engineering,185900,In-person
2023,Data Engineer,Data Engineering,129300,In-person
2023,Business Intelligence Engineer,BI and Visualization,185000,In-person
2023,Business Intelligence Engineer,BI and Visualization,79600,In-person
2023,Data Engineer,Data Engineering,122000,In-person
2023,Data Engineer,Data Engineering,94500,In-person
2023,Data Engineer,Data Engineering,247300,In-person
2023,Data Engineer,Data Engineering,139700,In-person
2023,Data Analyst,Data Analysis,176000,In-person
2023,Data Analyst,Data Analysis,100000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,204500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,142200,In-person
2023,Research Scientist,Data Science and Research,247600,In-person
2023,Research Scientist,Data Science and Research,127300,In-person
2023,Data Scientist,Data Science and Research,223400,Remote
2023,Data Scientist,Data Science and Research,186200,Remote
2023,Data Engineer,Data Engineering,167500,In-person
2023,Data Engineer,Data Engineering,106500,In-person
2023,Data Scientist,Data Science and Research,185900,In-person
2023,Data Scientist,Data Science and Research,129300,In-person
2023,Research Analyst,Data Science and Research,72000,Remote
2023,Research Analyst,Data Science and Research,64000,Remote
2023,Analytics Engineer,Leadership and Management,179820,In-person
2023,Analytics Engineer,Leadership and Management,143860,In-person
2023,Research Scientist,Data Science and Research,283050,In-person
2023,Research Scientist,Data Science and Research,188700,In-person
2023,Data Engineer,Data Engineering,133000,In-person
2023,Data Engineer,Data Engineering,58400,In-person
2023,Research Engineer,Data Science and Research,141298,In-person
2023,Research Engineer,Data Science and Research,115607,In-person
2023,Data Analyst,Data Analysis,100000,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,266500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,144400,In-person
2023,Data Engineer,Data Engineering,71363,In-person
