work_year,job_title,job_category,salary_in_usd,company_size,work_setting,salary_category
1.0,Data DevOps Engineer,Data Engineering,0.18393563218390807,L,Hybrid,0.0
1.0,Data Architect,Data Architecture and Modeling,0.3931034482758621,M,In-person,0.3333333333333333
1.0,Data Architect,Data Architecture and Modeling,0.1535632183908046,M,In-person,0.0
1.0,Data Scientist,Data Science and Research,0.4528735632183908,M,In-person,0.3333333333333333
1.0,Data Scientist,Data Science and Research,0.18,M,In-person,0.0
1.0,Data Scientist,Data Science and Research,0.26436781609195403,M,Remote,0.3333333333333333
1.0,Data Scientist,Data Science and Research,0.1954022988505747,M,Remote,0.0
1.0,Machine Learning Researcher,Machine Learning and AI,0.48137931034482756,M,In-person,0.3333333333333333
1.0,Machine Learning Researcher,Machine Learning and AI,0.284367816091954,M,In-person,0.3333333333333333
1.0,Data Engineer,Data Engineering,0.4482758620689655,M,Remote,0.3333333333333333
1.0,Data Engineer,Data Engineering,0.35172413793103446,M,Remote,0.3333333333333333
1.0,Machine Learning Engineer,Machine Learning and AI,0.48137931034482756,M,In-person,0.3333333333333333
1.0,Machine Learning Engineer,Machine Learning and AI,0.284367816091954,M,In-person,0.3333333333333333
1.0,Data Scientist,Data Science and Research,0.06451494252873563,M,In-person,0.0
1.0,Data Scientist,Data Science and Research,0.05037241379310345,M,In-person,0.0
1.0,Data Analyst,Data Analysis,0.1839080459770115,M,In-person,0.0
1.0,Data Analyst,Data Analysis,0.13793103448275862,M,In-person,0.0
1.0,Data Scientist,Data Science and Research,0.6551724137931035,M,In-person,0.6666666666666667
1.0,Data Scientist,Data Science and Research,0.503448275862069,M,In-person,0.6666666666666667
1.0,Analytics Engineer,Leadership and Management,0.28735632183908044,M,In-person,0.3333333333333333
1.0,Analytics Engineer,Leadership and Management,0.24137931034482757,M,In-person,0.0
1.0,Machine Learning Engineer,Machine Learning and AI,0.435632183908046,M,In-person,0.3333333333333333
1.0,Machine Learning Engineer,Machine Learning and AI,0.2924137931034483,M,In-person,0.3333333333333333
1.0,Data Analyst,Data Analysis,0.3218390804597701,M,In-person,0.3333333333333333
1.0,Data Analyst,Data Analysis,0.21839080459770116,M,In-person,0.0
1.0,Machine Learning Engineer,Machine Learning and AI,0.57816091954023,M,In-person,0.6666666666666667
1.0,Machine Learning Engineer,Machine Learning and AI,0.31494252873563217,M,In-person,0.3333333333333333
1.0,Applied Scientist,Data Science and Research,0.4763218390804597,L,In-person,0.3333333333333333
1.0,Applied Scientist,Data Science and Research,0.27816091954022987,L,In-person,0.3333333333333333
1.0,Machine Learning Engineer,Machine Learning and AI,0.5940229885057472,M,In-person,0.6666666666666667
1.0,Machine Learning Engineer,Machine Learning and AI,0.38436781609195403,M,In-person,0.3333333333333333
1.0,BI Developer,BI and Visualization,0.3505747126436782,M,In-person,0.3333333333333333
1.0,BI Developer,BI and Visualization,0.21034482758620693,M,In-person,0.0
