work_year,job_title,job_category,salary_in_usd,company_size,work_setting
2023,42,4,95012,0,0
2023,41,3,186000,1,1
2023,41,3,81800,1,1
2023,69,7,212000,1,1
2023,69,7,93300,1,1
2023,69,7,130000,1,2
2023,69,7,100000,1,2
2023,102,9,224400,1,1
2023,102,9,138700,1,1
2023,44,4,210000,1,2
2023,44,4,168000,1,2
2023,96,9,224400,1,1
2023,96,9,138700,1,1
2023,69,7,43064,1,1
2023,69,7,36912,1,1
2023,35,2,95000,1,1
2023,35,2,75000,1,1
2023,69,7,300000,1,1
2023,69,7,234000,1,1
2023,7,8,140000,1,1
2023,7,8,120000,1,1
2023,96,9,204500,1,1
2023,96,9,142200,1,1
2023,35,2,155000,1,1
2023,35,2,110000,1,1
2023,96,9,266500,1,1
2023,96,9,152000,1,1
2023,12,7,222200,0,1
2023,12,7,136000,0,1
2023,96,9,273400,1,1
2023,96,9,182200,1,1
2023,18,0,167500,1,1
2023,18,0,106500,1,1
2023,44,4,185900,1,1
2023,44,4,129300,1,1
2023,25,0,185000,0,1
2023,25,0,79600,0,1
2023,44,4,122000,1,1
2023,44,4,94500,1,1
2023,44,4,247300,1,1
2023,44,4,139700,1,1
2023,35,2,176000,1,1
2023,35,2,100000,1,1
2023,96,9,204500,1,1
2023,96,9,142200,1,1
2023,119,7,247600,0,1
2023,119,7,127300,0,1
2023,69,7,223400,1,2
2023,69,7,186200,1,2
2023,44,4,167500,1,1
2023,44,4,106500,1,1
2023,69,7,185900,1,1
2023,69,7,129300,1,1
2023,117,7,72000,1,2
2023,117,7,64000,1,2
2023,7,8,179820,1,1
2023,7,8,143860,1,1
2023,119,7,283050,1,1
2023,119,7,188700,1,1
2023,44,4,133000,1,1
2023,44,4,58400,1,1
2023,118,7,141298,1,1
2023,118,7,115607,1,1
2023,35,2,100000,1,1
2023,35,2,75000,1,1
2023,96,9,266500,1,1
2023,96,9,144400,1,1
2023,44,4,71363,1,1
2023,44,4,55368,1,1
2023,119,7,287500,1,1
2023,119,7,156000,1,1
2023,35,2,90000,1,2
2023,35,2,70000,1,2
2023,44,4,199000,1,1
2023,44,4,162000,1,1
2023,44,4,170884,1,2
2023,44,4,113923,1,2
2023,44,4,184000,1,1
2023,44,4,123000,1,1
2023,69,7,235750,1,1
2023,69,7,174250,1,1
2023,119,7,165000,1,2
2023,119,7,118800,1,2
2023,44,4,225000,1,2
2023,44,4,150000,1,2
2023,96,9,213900,1,1
2023,96,9,116800,1,1
2023,69,7,220000,1,2
2023,69,7,150000,1,2
2023,69,7,150000,1,1
2023,69,7,100000,1,1
2023,96,9,247500,1,1
2023,96,9,172200,1,1
2023,44,4,155000,1,1
2023,44,4,120000,1,1
2023,44,4,226700,1,1
2023,44,4,133300,1,1
2023,44,4,184000,1,1
2023,44,4,123000,1,1
2023,69,7,130000,1,1
2023,69,7,117000,1,1
2023,64,7,160000,1,2
2023,64,7,140000,1,2
2023,69,7,166000,1,1
2023,69,7,73000,1,1
2023,69,7,185900,1,2
2023,69,7,129300,1,2
2023,44,4,130000,1,1
2023,44,4,104000,1,1
2023,44,4,143000,1,2
2023,44,4,116000,1,2
2023,119,7,165000,1,2
2023,119,7,118800,1,2
2023,119,7,220000,1,1
2023,119,7,180000,1,1
2023,44,4,184000,1,1
2023,44,4,123000,1,1
2023,44,4,215000,1,1
2023,44,4,200000,1,1
2023,69,7,253000,1,1
2023,69,7,131000,1,1
2023,96,9,220000,1,1
2023,96,9,176000,1,1
2023,60,6,49216,1,2
2023,60,6,36912,1,2
2023,69,7,210000,1,1
2023,69,7,147000,1,1
2023,58,8,186000,1,1
2023,58,8,161000,1,1
2023,96,9,205000,1,1
2023,96,9,152000,1,1
2023,44,4,220000,1,2
2023,44,4,190000,1,2
