work_year,salary_in_usd
1.0,95012
1.0,186000
1.0,81800
1.0,212000
1.0,93300
1.0,130000
1.0,100000
1.0,224400
1.0,138700
1.0,210000
1.0,168000
1.0,224400
1.0,138700
1.0,43064
1.0,36912
1.0,95000
1.0,75000
1.0,300000
1.0,234000
1.0,140000
1.0,120000
1.0,204500
1.0,142200
1.0,155000
1.0,110000
1.0,266500
1.0,152000
1.0,222200
1.0,136000
1.0,273400
1.0,182200
1.0,167500
1.0,106500
1.0,185900
1.0,129300
1.0,185000
1.0,79600
1.0,122000
1.0,94500
1.0,247300
1.0,139700
1.0,176000
1.0,100000
1.0,204500
1.0,142200
1.0,247600
1.0,127300
1.0,223400
1.0,186200
1.0,167500
1.0,106500
1.0,185900
1.0,129300
1.0,72000
1.0,64000
1.0,179820
1.0,143860
1.0,283050
1.0,188700
1.0,133000
1.0,58400
1.0,141298
1.0,115607
1.0,100000
1.0,75000
1.0,266500
1.0,144400
1.0,71363
1.0,55368
1.0,287500
1.0,156000
1.0,90000
1.0,70000
1.0,199000
1.0,162000
1.0,170884
1.0,113923
1.0,184000
1.0,123000
1.0,235750
1.0,174250
1.0,165000
1.0,118800
1.0,225000
1.0,150000
1.0,213900
1.0,116800
1.0,220000
1.0,150000
1.0,150000
1.0,100000
1.0,247500
1.0,172200
1.0,155000
1.0,120000
1.0,226700
1.0,133300
1.0,184000
1.0,123000
1.0,130000
1.0,117000
1.0,160000
1.0,140000
1.0,166000
1.0,73000
1.0,185900
1.0,129300
1.0,130000
1.0,104000
1.0,143000
1.0,116000
1.0,165000
1.0,118800
1.0,220000
1.0,180000
1.0,184000
1.0,123000
1.0,215000
1.0,200000
1.0,253000
1.0,131000
1.0,220000
1.0,176000
1.0,49216
1.0,36912
1.0,210000
1.0,147000
1.0,186000
1.0,161000
1.0,205000
1.0,152000
1.0,220000
1.0,190000
1.0,205000
1.0,152000
1.0,137000
1.0,110000
1.0,172000
1.0,146000
1.0,148000
1.0,99000
1.0,150000
1.0,130000
1.0,105000
1.0,99000
1.0,52500
1.0,180514
1.0,108308
1.0,210000
1.0,147000
1.0,290300
1.0,196685
1.0,220000
1.0,176000
1.0,175000
1.0,130000
1.0,185000
1.0,150000
1.0,145000
1.0,115000
1.0,133000
1.0,58300
1.0,115000
1.0,95000
1.0,110244
1.0,39372
1.0,43187
1.0,31310
1.0,92280
1.0,67672
1.0,92280
1.0,67672
