work_year,job_title,salary_currency,salary,work_setting,company_location,company_size
2023,Data DevOps Engineer,EUR,88000,Hybrid,Germany,L
2023,Data Architect,USD,186000,In-person,United States,M
2023,Data Architect,USD,81800,In-person,United States,M
2023,Data Scientist,USD,212000,In-person,United States,M
2023,Data Scientist,USD,93300,In-person,United States,M
2023,Data Scientist,USD,130000,Remote,United States,M
2023,Data Scientist,USD,100000,Remote,United States,M
2023,Machine Learning Researcher,USD,224400,In-person,United States,M
2023,Machine Learning Researcher,USD,138700,In-person,United States,M
2023,Data Engineer,USD,210000,Remote,United States,M
2023,Data Engineer,USD,168000,Remote,United States,M
2023,Machine Learning Engineer,USD,224400,In-person,United States,M
2023,Machine Learning Engineer,USD,138700,In-person,United States,M
2023,Data Scientist,GBP,35000,In-person,United Kingdom,M
2023,Data Scientist,GBP,30000,In-person,United Kingdom,M
2023,Data Analyst,USD,95000,In-person,United States,M
2023,Data Analyst,USD,75000,In-person,United States,M
2023,Data Scientist,USD,300000,In-person,United States,M
2023,Data Scientist,USD,234000,In-person,United States,M
2023,Analytics Engineer,USD,140000,In-person,United States,M
2023,Analytics Engineer,USD,120000,In-person,United States,M
2023,Machine Learning Engineer,USD,204500,In-person,United States,M
2023,Machine Learning Engineer,USD,142200,In-person,United States,M
2023,Data Analyst,USD,155000,In-person,United States,M
2023,Data Analyst,USD,110000,In-person,United States,M
2023,Machine Learning Engineer,USD,266500,In-person,United States,M
2023,Machine Learning Engineer,USD,152000,In-person,United States,M
2023,Applied Scientist,USD,222200,In-person,United States,L
2023,Applied Scientist,USD,136000,In-person,United States,L
2023,Machine Learning Engineer,USD,273400,In-person,United States,M
2023,Machine Learning Engineer,USD,182200,In-person,United States,M
2023,BI Developer,USD,167500,In-person,United States,M
2023,BI Developer,USD,106500,In-person,United States,M
2023,Data Engineer,USD,185900,In-person,United States,M
2023,Data Engineer,USD,129300,In-person,United States,M
2023,Business Intelligence Engineer,USD,185000,In-person,United States,L
2023,Business Intelligence Engineer,USD,79600,In-person,United States,L
2023,Data Engineer,USD,122000,In-person,United States,M
2023,Data Engineer,USD,94500,In-person,United States,M
2023,Data Engineer,USD,247300,In-person,United States,M
2023,Data Engineer,USD,139700,In-person,United States,M
2023,Data Analyst,USD,176000,In-person,United States,M
2023,Data Analyst,USD,100000,In-person,United States,M
2023,Machine Learning Engineer,USD,204500,In-person,United States,M
2023,Machine Learning Engineer,USD,142200,In-person,United States,M
2023,Research Scientist,USD,247600,In-person,United States,L
2023,Research Scientist,USD,127300,In-person,United States,L
2023,Data Scientist,USD,223400,Remote,United States,M
2023,Data Scientist,USD,186200,Remote,United States,M
2023,Data Engineer,USD,167500,In-person,United States,M
2023,Data Engineer,USD,106500,In-person,United States,M
2023,Data Scientist,USD,185900,In-person,United States,M
2023,Data Scientist,USD,129300,In-person,United States,M
2023,Research Analyst,USD,72000,Remote,United States,M
2023,Research Analyst,USD,64000,Remote,United States,M
2023,Analytics Engineer,USD,179820,In-person,United States,M
2023,Analytics Engineer,USD,143860,In-person,United States,M
2023,Research Scientist,USD,283050,In-person,United States,M
2023,Research Scientist,USD,188700,In-person,United States,M
2023,Data Engineer,USD,133000,In-person,United States,M
2023,Data Engineer,USD,58400,In-person,United States,M
2023,Research Engineer,USD,141298,In-person,United States,M
2023,Research Engineer,USD,115607,In-person,United States,M
2023,Data Analyst,USD,100000,In-person,United States,M
2023,Data Analyst,USD,75000,In-person,United States,M
2023,Machine Learning Engineer,USD,266500,In-person,Canada,M
2023,Machine Learning Engineer,USD,144400,In-person,Canada,M
2023,Data Engineer,GBP,58000,In-person,United Kingdom,M
2023,Data Engineer,GBP,45000,In-person,United Kingdom,M
2023,Research Scientist,USD,287500,In-person,United States,M
2023,Research Scientist,USD,156000,In-person,United States,M
2023,Data Analyst,USD,90000,Remote,United States,M
2023,Data Analyst,USD,70000,Remote,United States,M
2023,Data Engineer,USD,199000,In-person,United States,M
2023,Data Engineer,USD,162000,In-person,United States,M
2023,Data Engineer,USD,170884,Remote,United States,M
2023,Data Engineer,USD,113923,Remote,United States,M
2023,Data Engineer,USD,184000,In-person,United States,M
2023,Data Engineer,USD,123000,In-person,United States,M
2023,Data Scientist,USD,235750,In-person,United States,M
2023,Data Scientist,USD,174250,In-person,United States,M
2023,Research Scientist,USD,165000,Remote,United States,M
2023,Research Scientist,USD,118800,Remote,United States,M
2023,Data Engineer,USD,225000,Remote,United States,M
2023,Data Engineer,USD,150000,Remote,United States,M
2023,Machine Learning Engineer,USD,213900,In-person,United States,M
2023,Machine Learning Engineer,USD,116800,In-person,United States,M
2023,Data Scientist,USD,220000,Remote,United States,M
2023,Data Scientist,USD,150000,Remote,United States,M
2023,Data Scientist,USD,150000,In-person,United States,M
2023,Data Scientist,USD,100000,In-person,United States,M
2023,Machine Learning Engineer,USD,247500,In-person,United States,M
2023,Machine Learning Engineer,USD,172200,In-person,United States,M
2023,Data Engineer,USD,155000,In-person,United States,M
2023,Data Engineer,USD,120000,In-person,United States,M
2023,Data Engineer,USD,226700,In-person,United States,M
2023,Data Engineer,USD,133300,In-person,United States,M
2023,Data Engineer,USD,184000,In-person,United States,M
2023,Data Engineer,USD,123000,In-person,United States,M
2023,Data Scientist,USD,130000,In-person,United States,M
2023,Data Scientist,USD,117000,In-person,United States,M
2023,Data Science Engineer,USD,160000,Remote,United States,M
2023,Data Science Engineer,USD,140000,Remote,United States,M
2023,Data Scientist,USD,166000,In-person,United States,M
2023,Data Scientist,USD,73000,In-person,United States,M
2023,Data Scientist,USD,185900,Remote,United States,M
2023,Data Scientist,USD,129300,Remote,United States,M
